Process Name,Count
System Idle Process,1
System,1
wininit.exe,1
,1
Registry,1
DiagsCap.exe,1
smss.exe,1
svchost.exe,92
csrss.exe,2
winlogon.exe,1
services.exe,1
LsaIso.exe,1
lsass.exe,1
msedge.exe,39
dasHost.exe,1
WUDFHost.exe,4
fontdrvhost.exe,2
dwm.exe,1
slack.exe,7
IntelCpHDCPSvc.exe,1
ZSATrayManager.exe,1
MemCompression,1
powershell.exe,5
MsMpEng.exe,1
python.exe,6
unsecapp.exe,2
TextInputHost.exe,1
TouchpointAnalyticsClientService.exe,1
WmiPrvSE.exe,6
spoolsv.exe,1
explorer.exe,1
kass.exe,1
taskhostw.exe,2
HPHotkeyNotification.exe,1
ETDService.exe,1
ELAN_MOC_Service.exe,1
OneApp.IGCC.WinService.exe,1
HotKeyServiceUWP.exe,1
IntelAudioService.exe,1
RtkAudUService64.exe,3
RtkBtManServ.exe,1
mongod.exe,1
SECOMN64.exe,1
mysqld.exe,2
ipfsvc.exe,1
CmRcService.exe,1
MsSense.exe,1
jhi_service.exe,1
ipf_uf.exe,1
WMIRegistrationService.exe,1
ZSAService.exe,1
Code.exe,15
LanWlanWwanSwitchingServiceUWP.exe,1
Microsoft.Management.Services.IntuneWindowsAgent.exe,1
pycharm64.exe,1
conhost.exe,12
agentmonitor.exe,1
keyacc32.exe,1
NisSrv.exe,1
aeagent.exe,1
AggregatorHost.exe,1
ipf_helper.exe,1
ETDCtrl.exe,1
SearchIndexer.exe,1
sihost.exe,1
SystemSettings.exe,1
SECOCL64.exe,1
ctfmon.exe,1
RuntimeBroker.exe,8
LocationNotificationWindows.exe,1
SearchFilterHost.exe,2
StartMenuExperienceHost.exe,1
Widgets.exe,1
dllhost.exe,3
Teams.exe,10
SecurityHealthSystray.exe,1
SecurityHealthService.exe,1
UserOOBEBroker.exe,1
SysInfoCap.exe,1
uhssvc.exe,1
AdobeCollabSync.exe,2
SenseTVM.exe,1
ZSATray.exe,1
ApplicationFrameHost.exe,1
ZSATunnel.exe,1
fsnotifier.exe,1
SCNotification.exe,1
LockApp.exe,1
msteams.exe,1
ShellExperienceHost.exe,1
msedgewebview2.exe,7
CcmExec.exe,1
WidgetService.exe,1
SearchProtocolHost.exe,2
pwahelper.exe,1
SystemSettingsBroker.exe,1
SenseCE.exe,1
SearchHost.exe,1
PhotosApp.exe,1
OneDrive.exe,1
OpenConsole.exe,1
ZSAUpm.exe,1
AppHelperCap.exe,1
FileCoAuth.exe,1
XboxPcAppFT.exe,1
XboxGameBarWidgets.exe,1
NetworkCap.exe,1
PhotosService.exe,3
SenseNdr.exe,1
pacjsworker.exe,1
audiodg.exe,1
armsvc.exe,1
Notepad.exe,1
Microsoft.SharePoint.exe,1
smartscreen.exe,1
